37,2013,149,272
5,1996,149,1505
5,0,1841,3662
5,1999,149,272
5,2004,6,625
5,0,323,7
5,0,5,7
1426,0,6,993
5,0,6,7
10,0,6,1991
5,2018,149,1233
5,1990,323,2869
5,2014,417,1981
5,0,386,632
5,2019,417,684
5,0,83,7
5,0,5,7
5,2009,754,4446
5,0,674,1188
5,2012,149,1233
5,0,6,4447
5,0,149,975
5,0,552,2364
5,0,149,917
5,0,6,1991
1595,0,205,1393
5,0,149,1547
5,0,97,7
5,0,93,7
5,1995,643,2000
5,0,2324,7
5,2015,149,241
13,0,34,7
5,2007,149,241
5,0,5,7
5,0,6,7
5,0,5,7
1,0,54,122
5,0,5,7
5,0,6,8
1,2014,63,1510
5,2014,6,8
5,2013,643,3677
5,2015,6,8
5,0,5,7
5,0,5,7
5,0,149,7
3,2013,419,750
20,2012,856,1706
20,2013,42,1430
20,2013,42,1430
20,2013,42,1430
277,2015,1858,4448
20,2014,42,2749
20,2016,48,78
20,2013,42,1430
20,1997,149,2823
20,2013,42,1430
20,2013,42,1430
5,2016,6,1991
20,0,42,1430
20,0,42,611
20,0,42,1430
5,2014,390,1421
20,0,2325,4449
20,2011,5,7
289,0,5,7
3,2002,294,4450
20,2013,42,2873
37,0,5,7
20,2013,2326,7
208,2012,373,606
20,0,322,4451
20,2012,1442,2880
5,2001,674,1189
3,0,5,7
20,2001,2270,4452
98,2009,2327,4453
3,2016,970,4454
20,2010,419,1705
5,2009,6,625
20,0,332,7
285,2008,886,4455
20,0,5,7
546,2011,2328,4456
5,0,5,7
20,0,5,7
3,2010,968,4457
420,0,386,632
12,2008,2329,4458
1,2010,71,771
20,2006,51,950
90,2008,198,7
20,2011,1074,7
564,0,5,7
20,0,417,709
1,2010,43,71
1582,0,5,7
5,0,5,7
187,0,951,7
161,2013,42,642
221,0,5,7
5,2004,149,1980
1596,0,2330,4459
36,2012,71,771
5,2000,323,7
5,0,417,1267
5,0,417,7
20,2014,255,393
1362,0,6,1999
5,0,6,87
20,0,5,7
101,0,1503,3591
20,0,5,7
5,0,5,7
5,0,5,7
1,2011,2331,4460
3,0,1009,7
20,0,5,7
36,0,1196,7
20,0,5,7
727,2014,1244,4461
1,0,2332,7
5,0,244,1858
5,0,11,14
1,0,5,7
20,2013,396,2376
986,2016,83,1870
5,2005,552,2670
158,0,5,7
5,2005,149,241
1597,2012,2333,4462
5,2017,97,1130
260,0,970,4454
5,2010,149,272
5,0,5,7
37,2011,376,2563
5,0,386,632
37,0,5,7
5,2014,778,2108
5,0,6,1556
20,2015,49,455
179,2014,2334,4463
5,0,643,1269
1,0,531,4464
111,2014,1827,3773
5,2014,841,3049
5,0,643,3677
1598,0,5,7
5,2007,5,7
179,0,2335,4465
5,0,5,7
3,0,83,136
3,0,83,1227
5,2012,117,190
5,0,244,1487
1599,0,149,241
127,0,626,7
5,2009,149,241
5,2007,11,1496
98,2007,202,1272
1433,2017,2336,4466
861,2010,1071,4262
5,0,390,7
5,0,5,7
20,0,5,7
5,0,5,7
5,0,5,7
20,0,970,4454
1600,2015,138,2300
3,0,323,2869
5,2015,149,1505
38,0,268,4467
5,0,83,136
5,0,11,7
5,2008,117,190
20,0,5,7
216,2010,423,4468
3,0,5,7
1,2016,138,1371
20,0,5,7
5,2018,6,1999
5,0,11,1207
5,2006,417,1554
37,2012,16,22
5,0,149,235
20,2010,42,7
38,0,46,74
1,0,5,7
22,2014,24,391
156,0,5,7
5,0,149,235
37,2009,2337,4469
5,0,5,7
5,0,1031,7
5,0,5,7
5,0,706,7
13,2017,706,7
5,0,841,7
5,2018,643,1269
20,1992,42,1158
5,0,5,7
5,0,5,7
5,0,801,1418
5,0,149,241
5,0,11,1997
5,2017,149,4470
5,2009,386,1076
5,0,552,902
642,0,596,2127
5,2014,840,2427
5,0,149,7
5,2015,643,1074
13,0,5,7
5,2022,459,2554
1601,2011,2338,4471
5,0,5,7
5,0,2010,4472
5,2016,754,2245
5,0,841,4473
246,0,5,7
5,0,5,7
1,0,5,7
14,0,5,7
5,2014,125,4474
718,0,5,7
49,0,164,7
445,0,5,7
1602,0,5,7
5,2019,6,4475
5,2015,390,4476
5,0,149,1980
20,0,1097,4477
1603,2013,149,241
5,0,2046,4008
20,2014,332,4478
5,0,323,7
5,0,83,136
3,0,5,7
5,2000,643,1264
5,0,83,136
445,0,5,7
72,2010,569,7
5,0,841,3845
487,2013,244,2126
5,0,706,7
1,0,5,7
5,0,643,2117
5,2015,149,1860
5,0,840,7
20,0,57,7
201,2015,83,136
5,0,778,7
5,2012,643,1269
5,2012,778,2108
5,0,244,2126
1,0,14,7
5,0,83,4479
5,0,5,7
5,2012,552,902
5,0,852,1508
179,0,5,7
79,0,948,1695
37,0,2339,7
98,0,5,7
5,0,5,7
1,0,66,1248
20,0,5,7
5,2010,11,1496
20,0,1858,7
5,0,778,7
1,0,6,7
36,0,5,7
5,0,728,7
37,2012,135,7
246,2008,634,7
37,1998,282,530
49,0,130,7
5,2013,83,1375
3,0,643,7
20,0,1636,7
20,2015,773,1328
5,0,5,7
5,0,643,2117
5,1980,706,1550
5,0,5,7
5,0,674,3613
5,0,149,272
5,0,5,7
1,0,6,1994
5,0,417,1981
20,0,5,7
5,2010,149,7
1,0,5,7
1178,0,386,1076
13,0,390,1480
3,0,64,7
5,0,6,7
10,0,570,7
5,0,5,7
1,0,63,104
5,0,706,7
5,0,90,7
562,2004,1005,4480
5,0,5,7
5,2010,643,1425
216,0,5,7
5,0,706,7
5,2015,706,1891
20,0,5,7
5,2011,11,1986
1,0,255,7
5,0,5,7
5,0,159,253
5,0,323,7
5,0,83,136
5,2009,149,1980
20,0,49,7
5,0,5,7
1,0,149,7
35,2010,1782,7
5,0,5,7
1,0,5,7
37,0,5,7
1,2013,163,4415
5,0,5,7
74,0,5,7
86,0,97,7
5,2010,79,3159
20,0,5,7
1,2013,102,286
5,0,754,7
63,0,534,2765
5,0,117,7
5,0,5,7
5,0,904,7
5,0,149,7
20,0,2340,7
246,0,5,7
20,0,856,1706
5,0,5,7
20,2012,773,4481
3,2012,2178,4482
4,0,5,7
20,0,42,4483
5,0,54,89
5,0,5,7
37,2012,2341,4484
5,2010,11,1496
5,2015,149,1980
5,2013,149,7
5,2010,83,7
20,0,2342,7
1,0,5,7
5,2014,1053,2394
5,0,5,7
40,2015,2343,4485
5,0,417,7
13,2018,639,1523
1,2008,14,76
5,0,5,7
5,2013,6,993
5,0,706,2398
5,0,149,7
35,0,44,7
1,0,11,1986
5,0,5,7
20,2013,51,4486
222,2006,434,716
5,0,5,7
20,0,42,1662
5,2006,1977,7
1604,0,832,7
5,0,259,471
5,2010,706,1891
5,2013,11,250
20,2012,2024,4487
3,0,5,7
5,0,390,7
5,0,149,272
1,0,5,7
5,0,11,1496
36,0,203,7
20,0,5,7
5,0,5,7
5,2016,149,1505
3,0,5,7
54,0,5,7
20,0,1515,4488
37,0,5,7
20,0,784,7
20,0,5,7
109,2016,540,4489
735,2015,2209,7
3,0,5,7
182,0,2344,7
3,0,5,7
38,2011,2345,4490
109,0,5,7
5,2002,244,2126
1,0,887,1970
5,0,149,241
1605,0,367,4491
5,0,149,241
1,2004,324,524
1,2010,97,1130
5,2008,323,523
1,2004,2202,4492
1,2008,70,113
1,2008,97,1130
37,0,5,7
5,0,417,2878
5,1998,1152,2165
5,1999,97,154
5,2000,506,1457
5,2004,149,1505
5,0,5,7
3,2004,97,1130
5,2015,11,1986
5,0,5,7
232,2010,463,4493
5,0,149,7
5,2010,6,1991
5,2009,244,380
3,2014,1634,4494
13,2007,201,1631
5,2002,552,2670
5,2008,149,272
1,2005,2346,7
1,2003,1,64
5,2012,552,902
5,2004,706,1336
5,2005,904,1987
5,2007,706,7
682,0,5,7
5,2009,323,1191
5,1995,149,7
3,0,7,1294
3,0,54,122
5,1992,97,1949
5,2003,6,625
5,2006,417,709
5,2012,11,1986
5,2011,6,8
5,0,5,7
13,0,201,7
5,0,417,709
1,2010,402,655
5,2008,643,7
5,2007,643,1269
1,2010,1,49
5,2005,6,1991
3,0,417,709
5,2011,149,975
5,2005,97,1289
5,1998,324,2992
5,1989,583,1479
1,2004,14,203
5,0,149,1505
5,2004,149,1505
5,2003,11,14
101,2004,1503,3591
1,2011,63,322
5,0,6,1991
5,1997,149,1980
5,2006,417,2113
5,2002,149,3536
59,0,165,4495
3,2009,11,250
5,2009,149,272
5,2008,643,1269
59,0,5,7
5,0,417,684
5,1994,11,14
3,2013,2347,7
5,2005,6,2114
1,2007,1,2
5,2011,93,7
50,2007,82,1433
5,2010,83,1605
5,2016,801,1514
5,2002,149,975
1,2005,26,142
5,0,93,755
5,0,206,1818
5,1999,754,2245
5,2006,904,1987
5,0,149,1505
125,2009,417,2878
5,0,5,7
5,2008,904,4496
5,1986,149,2119
83,0,143,231
5,2010,390,4476
5,2005,117,1341
5,0,149,241
5,2011,149,1547
5,0,6,1556
1,0,5,7
5,1998,323,1996
5,2005,801,1418
5,2001,390,4476
5,0,5,7
1,2009,579,1530
5,0,79,129
5,2011,674,1115
5,2003,97,1289
32,2005,152,612
13,2008,672,4497
5,0,149,1233
5,0,244,2126
5,2007,6,1976
5,0,5,7
5,2004,97,154
5,0,5,7
5,2001,417,1981
5,2012,11,1986
5,2001,117,190
3,0,149,272
1606,2009,417,2113
5,2009,149,917
5,0,97,1289
5,0,5,7
5,0,506,1427
35,2001,44,187
3,0,900,7
83,0,11,7
5,0,6,1999
5,2009,149,272
37,0,1832,4498
5,0,79,129
5,0,5,7
5,2006,97,7
5,0,234,2867
3,2009,117,1341
5,2016,575,4499
59,2014,703,2057
3,0,5,7
5,2006,643,3677
5,2000,149,241
5,0,728,4009
5,1995,622,7
1,1990,612,4500
5,2010,417,709
5,0,706,1202
5,2012,643,1269
5,2012,417,709
83,0,143,3129
5,2006,323,4501
5,2010,149,241
5,1996,2348,7
5,0,149,272
5,2008,175,3029
5,1996,506,838
1607,2006,117,3459
246,2003,6,1989
5,2009,97,1289
4,0,5,7
5,1993,149,1233
5,2006,6,1976
5,1979,149,2823
5,2011,417,1026
5,0,11,250
13,0,238,1896
5,2004,149,1980
5,2016,323,523
5,2008,506,1457
5,2009,2091,4502
5,0,390,2121
5,2011,83,1605
5,2009,552,1552
5,1992,417,2319
5,2006,97,1463
13,2009,1157,3628
5,0,706,1202
5,2006,149,975
5,2007,149,272
101,0,5,7
5,2010,149,1505
256,0,809,7
20,0,5,7
5,1998,149,2823
5,2005,97,1993
5,2009,149,1547
5,2002,149,241
5,0,390,4503
5,2011,149,272
13,0,426,705
1269,1996,230,3606
5,2009,6,2114
5,2011,755,1504
36,2013,706,1202
5,2000,149,1505
5,2013,83,4504
5,2012,6,1976
1,0,5,7
5,2006,97,154
5,2006,417,684
5,2014,149,235
5,0,417,684
108,1998,5,7
104,2009,222,1917
1,1994,231,2981
5,2002,841,4505
4,0,139,7
5,0,5,7
1202,2005,2349,4506
5,2007,149,241
5,2012,11,4507
15,0,84,2159
126,2011,2350,4508
37,0,13,1636
5,0,5,7
5,2006,323,854
4,0,5,7
1,2009,386,632
5,0,149,1233
3,2005,6,277
5,2001,149,272
5,2013,11,1986
5,1980,323,1996
5,2002,390,4503
1,1993,1,64
5,2002,552,902
3,0,5,7
5,2000,386,1076
5,2005,1197,2295
5,1991,1152,7
5,1985,643,2000
5,0,149,241
5,0,5,7
5,2014,149,1055
104,2000,382,624
5,2009,829,4509
83,0,1279,2496
5,2008,417,684
5,2005,552,2364
1,2007,6,2114
5,2012,11,1986
5,0,5,7
5,2012,390,4476
5,1998,506,1457
5,1999,149,272
3,2002,390,2121
5,1979,2141,7
1608,0,5,7
1609,1988,2351,4510
5,2004,552,2670
1,0,1,1
5,0,643,7
203,0,656,4511
5,2013,643,1425
5,2012,386,841
5,2001,552,2670
5,0,754,4446
5,2008,674,3613
5,2015,6,625
1610,1989,93,3207
1,0,97,1130
5,2006,728,4009
5,2013,244,2126
5,1994,97,1289
5,0,706,1202
5,2001,149,2823
5,0,1977,7
32,2006,2352,4512
94,0,769,2278
5,1997,323,1191
5,2012,149,975
10,2010,217,345
5,0,69,254
5,2000,6,1989
5,2011,643,1264
5,2007,674,1188
5,2010,706,2398
5,2005,13,1500
5,1983,141,2790
1,2003,8,7
5,2014,829,4509
5,2010,674,1979
5,0,6,1976
3,2013,506,1427
20,2004,856,4513
5,1998,643,2117
5,2001,643,2117
5,0,149,1233
5,2011,6,2114
5,2000,149,1980
5,2010,417,709
5,2008,198,2118
83,2004,2353,4514
246,0,5,7
5,2006,643,1425
5,0,417,2878
5,0,417,7
90,0,1750,4515
5,2004,706,1327
5,0,417,7
5,2017,706,1550
5,2007,706,1327
63,1986,871,4516
5,0,643,1269
13,2013,117,1261
5,2005,706,2398
5,2008,6,1999
5,1989,149,1547
5,2012,83,4442
1611,2002,213,337
5,2005,728,1234
63,0,5,7
1,0,5,7
5,2004,506,1427
3,0,506,838
5,1991,558,1008
5,2002,417,2113
5,0,2091,7
20,2007,6,993
5,1998,79,201
5,0,149,272
59,0,165,7
5,2017,386,632
3,1997,97,1949
448,2008,827,1466
749,2001,1418,4517
5,2013,832,1475
5,2008,117,1261
37,2013,2354,4518
321,1998,114,1880
5,2012,93,1704
5,0,2355,7
5,2001,1152,2165
5,0,386,841
5,2013,323,1191
5,2015,149,1505
32,2004,151,3122
5,0,552,2364
5,2007,6,8
5,1986,6,1989
5,0,149,975
5,0,149,7
10,0,204,7
3,0,5,7
329,2009,777,2019
5,1998,552,2367
1,2006,90,264
5,2003,626,1021
5,0,643,1264
5,2003,754,1287
5,0,5,7
5,0,5,7
5,2004,841,3845
5,2015,417,7
5,0,149,272
1,0,5,7
5,2008,674,1189
702,2003,1915,4165
1,0,52,1252
5,0,149,272
5,0,5,7
5,1984,6,1989
10,2006,204,323
5,0,5,7
1,0,5,7
208,1990,494,4519
5,0,706,7
5,0,149,7
5,0,149,1980
5,0,643,3677
5,1987,149,1980
5,0,5,7
5,1989,6,1556
1,2005,20,2164
20,0,557,3631
5,2003,754,4210
3,0,13,758
5,2002,6,1976
10,1991,400,4520
1,1989,71,842
5,0,149,975
177,0,5,7
5,0,5,7
5,0,643,7
5,0,5,7
5,1990,83,4521
5,2002,417,684
5,0,13,7
1,2015,1,64
5,0,5,7
56,1996,570,7
5,2005,506,1457
1,0,55,335
470,2007,417,709
5,1993,2356,7
5,2001,6,2114
5,1996,801,1418
3,0,829,4509
5,2006,323,854
5,0,149,1055
59,2012,165,4495
4,2001,254,1335
5,0,93,1704
5,2007,149,7
1,1987,1,2
10,2003,27,4522
22,0,64,386
5,1971,1947,4523
5,1996,117,1261
5,1982,841,4524
5,0,417,684
5,0,506,1427
5,0,5,7
497,0,5,7
5,0,149,1980
5,2016,83,1227
5,2014,244,2126
1612,1988,52,7
5,1980,97,1949
522,2009,776,1343
5,2015,506,4525
22,0,64,1819
3,0,2357,4526
59,2005,63,518
5,0,244,1376
5,2006,1852,3685
5,0,5,7
5,2013,217,2390
5,2006,706,1327
5,0,149,272
59,0,165,3510
5,0,149,7
5,0,6,3886
5,1999,643,3677
5,0,149,7
22,0,64,2521
213,2002,143,270
5,0,5,7
5,1992,149,2823
13,0,5,7
5,0,643,3186
5,2016,506,1427
5,0,674,7
5,2004,417,1554
5,2002,149,1980
5,0,93,1704
5,0,417,2113
5,0,6,277
20,2008,6,2114
5,2015,6,1991
5,1992,552,7
5,2009,626,4527
5,0,149,7
5,2005,83,7
5,2003,6,7
5,0,323,685
5,0,97,1289
5,2001,149,975
5,2013,417,2527
5,2009,706,2398
4,2006,123,1181
5,0,6,7
5,0,6,1976
5,0,643,2000
1,2013,111,182
5,2004,6,1976
63,1988,654,3180
5,0,5,7
1613,2005,193,1259
1614,2012,69,635
83,2012,1677,3992
5,2009,778,1345
5,0,323,854
5,0,5,7
83,0,143,4528
5,0,5,7
5,2012,149,1980
5,2008,706,1336
374,2010,723,1223
5,0,5,7
13,0,249,2414
5,2017,117,190
59,2007,93,755
1,0,14,225
5,2005,728,3326
3,0,5,7
5,2001,390,3927
5,2003,674,4529
1615,1995,1053,7
1,2006,2358,4530
5,0,5,7
5,0,417,7
3,2010,737,1258
5,0,506,1457
5,2001,506,7
5,0,5,7
5,2012,706,1336
5,0,5,7
5,0,417,684
10,0,478,1954
5,0,5,7
5,1990,149,2823
5,0,5,7
1083,0,386,841
49,1980,130,7
5,2003,1368,7
1,2004,1194,4531
5,0,1219,7
5,2004,841,3049
5,2007,244,2126
5,0,117,190
5,2010,97,154
5,0,149,235
5,2012,386,1076
5,2006,117,1261
5,0,11,1207
63,2005,791,2198
5,0,6,7
5,0,552,902
1616,2014,2359,7
5,0,5,7
5,1967,6,277
5,0,849,4532
5,2003,643,7
5,1981,6,277
20,2004,2360,4533
5,0,323,1996
5,1998,83,1605
5,0,5,7
5,1997,841,4534
5,2004,93,755
5,0,552,2364
5,0,83,7
5,2004,149,2823
83,0,5,7
5,0,5,7
5,2000,904,1987
63,2000,402,655
5,2005,323,4501
5,0,390,1480
5,0,390,2121
5,0,117,3459
5,2004,149,948
5,0,5,7
5,1992,706,2866
5,2001,97,1993
5,2001,149,3536
5,2008,706,1336
321,0,5,7
5,2005,862,7
22,0,64,7
5,0,417,1992
5,2004,83,1589
10,2014,207,4535
1,0,323,7
5,0,149,7
5,0,11,1986
5,0,149,1233
5,0,83,1870
5,2011,323,2869
5,1999,6,7
5,1988,323,2869
1,0,5,7
5,0,149,975
5,0,5,7
5,0,6,277
5,2014,643,3677
3,0,5,7
5,2011,83,3630
5,0,79,7
324,0,417,709
5,0,149,272
5,0,1907,4003
5,2004,801,1418
5,2000,827,1471
35,0,953,7
1,0,71,7
5,0,390,7
1126,0,754,7
1617,2013,1053,3103
5,2004,417,684
5,1974,6,1556
13,2009,1157,2177
5,0,11,7
5,2005,390,3999
5,0,6,7
14,2002,18,1892
5,0,5,7
20,2005,33,7
223,1994,1098,4536
5,0,83,7
5,2003,83,4521
5,0,5,7
5,0,5,7
5,1982,149,2823
3,0,5,7
5,1994,506,838
5,0,149,7
1,2012,163,261
5,2001,6,7
5,1988,79,3159
1,0,5,7
5,1976,149,1233
713,2019,149,1505
5,2007,11,7
5,0,79,129
5,1989,643,7
1618,2005,843,2772
20,2006,784,4537
3,0,5,7
5,2004,6,1994
5,1993,149,272
5,2011,79,129
5,0,674,1189
1615,0,5,7
1619,2012,119,7
5,1989,417,1476
240,0,478,2639
5,2011,149,1334
5,2003,6,1976
104,1999,141,2790
5,0,5,7
5,0,5,7
5,0,5,7
5,0,97,1463
5,0,5,7
5,0,5,7
5,0,5,7
3,0,2361,4538
5,0,149,1120
5,2016,117,7
5,1996,390,4503
5,1991,643,3186
5,1999,706,1550
5,1992,6,1034
5,0,11,7
1,0,205,1833
5,0,5,7
1,0,1,5
13,2002,1254,2459
5,0,506,1630
5,0,149,7
5,1998,149,948
5,0,83,7
5,0,5,7
5,0,149,7
5,2006,552,2364
5,2000,83,1605
5,1974,97,7
3,0,5,7
5,0,149,1980
5,1994,149,2823
5,0,6,1553
5,1992,149,1980
5,1978,6,1553
1,0,534,4539
35,0,118,7
5,0,506,7
5,0,5,7
5,1999,2174,4222
5,0,5,7
3,0,506,7
13,2004,249,2729
5,1995,14,25
5,1997,386,632
3,0,5,7
5,0,5,7
5,2003,149,1980
3,0,83,3072
5,2006,706,7
5,0,5,7
5,1993,417,2527
3,0,171,2337
59,0,165,3760
5,1996,728,1234
5,0,643,7
63,1993,144,3007
1,2001,14,7
5,0,643,2117
5,0,2045,4540
5,0,5,7
5,2012,79,7
5,0,643,2117
32,2008,152,3003
5,1981,83,1227
5,2006,149,272
1,2012,11,1496
5,2000,149,1980
5,0,728,4009
20,1986,287,579
5,1991,244,1487
5,0,149,1860
5,1990,244,1376
212,0,2362,4541
5,0,93,7
5,1991,149,948
5,2013,674,1188
5,1996,841,7
5,1991,706,1327
5,0,1152,7
5,2008,2091,4083
5,0,5,7
1,0,1,64
5,2008,778,2108
5,2012,728,7
1,0,1,7
1,0,706,7
5,0,643,7
5,0,674,7
5,0,5,7
10,2011,705,4542
5,2012,754,2245
22,0,64,386
1620,0,263,7
5,0,34,7
5,0,417,1981
5,2022,5,4543
5,0,390,7
5,0,447,733
1,0,5,7
5,0,674,1188
5,0,1031,7
5,1994,552,7
13,2005,34,3774
5,0,83,1227
5,2003,79,7
213,2007,2363,4544
5,1988,643,1264
5,2018,149,7
182,0,2344,7
10,1998,692,4026
5,0,5,7
1621,0,5,7
5,0,706,2866
5,0,5,7
5,2018,2045,4007
5,0,5,7
5,0,5,7
5,0,5,7
5,0,5,7
5,0,552,2364
5,0,5,7
101,2010,11,1496
3,1999,149,1980
5,2010,6,4447
5,0,1601,7
5,2003,1907,7
5,0,149,1233
5,1992,244,380
5,0,706,7
104,0,214,7
15,0,1272,7
1,0,16,56
5,2011,117,190
5,0,5,7
5,0,6,7
1,2001,1,28
5,0,5,7
5,0,5,7
5,2007,728,1234
5,0,5,7
5,0,841,7
5,0,5,7
5,2016,1031,1881
5,2010,6,1976
1,0,1,7
5,2007,706,2398
5,2015,643,1074
5,2010,840,4545
5,0,97,7
30,1989,826,4178
5,2011,674,7
3,0,5,7
5,0,832,1475
5,2007,149,7
5,1982,149,1233
5,1993,11,14
5,0,706,1336
5,0,5,7
5,0,83,7
5,1987,149,1547
5,0,5,7
5,1999,323,4546
5,2014,506,1427
5,0,149,7
35,0,119,2099
5,2004,904,1622
145,0,303,2923
1,2003,219,350
10,1989,570,7
1,0,8,10
5,0,149,272
5,0,728,7
5,0,11,1986
5,2014,552,1552
5,0,5,7
5,1995,841,1488
1622,1987,1947,7
5,0,244,2126
5,2005,149,1233
5,0,417,2878
37,0,5,7
5,0,5,7
1603,2000,643,1269
5,0,417,7
5,0,83,7
5,0,149,1055
235,0,5,7
5,0,5,7
5,0,5,7
5,0,149,7
5,0,417,7
5,0,5,7
5,0,5,7
5,0,5,7
5,0,5,7
5,2005,149,272
5,0,6,1553
3,0,2364,7
5,0,552,2364
5,1994,552,2367
5,0,79,129
321,0,8,1024
3,0,5,7
329,0,11,7
5,0,6,1991
5,0,5,7
5,2003,2365,4547
5,1992,149,1980
5,0,149,1505
5,0,5,7
5,1997,73,2609
5,1983,6,1553
5,0,149,7
83,0,706,7
5,2018,149,1547
157,1995,1118,4548
1623,2015,2366,4549
5,2017,83,1605
5,0,1947,7
5,2017,417,1554
5,2008,643,1074
1,0,5,7
1,0,5,7
5,0,6,1976
5,0,11,7
5,2016,640,1044
1,2010,16,22
5,2011,2,3
5,2017,83,268
3,0,386,7
5,0,149,1860
5,0,83,136
3,2006,382,4124
5,2011,149,272
5,2008,149,7
5,0,5,7
5,2005,149,1860
5,0,83,7
5,0,1031,7
13,0,5,7
5,0,643,1074
5,2013,643,7
5,2014,93,1417
5,0,5,7
5,0,5,7
5,0,904,7
5,0,1977,7
5,2012,706,1336
10,0,705,7
13,0,34,7
5,0,6,8
5,0,5,7
21,1983,1072,4550
5,2015,6,625
5,0,5,7
5,0,506,1427
5,0,5,7
22,0,24,7
5,0,5,7
5,0,506,7
1,2008,1183,3383
5,0,149,7
5,0,149,7
5,0,5,7
5,0,5,7
1,2010,39,7
5,2008,6,7
666,1991,1441,7
5,0,506,7
5,2010,149,1120
5,2002,149,1233
5,0,5,7
1,0,2367,7
79,0,5,7
5,0,5,7
5,0,5,7
35,0,5,7
5,0,5,7
5,0,5,7
5,2014,417,817
5,2015,1977,7
5,0,5,7
13,0,5,7
5,0,5,7
5,0,5,7
50,2015,548,894
5,0,706,7
1,2008,55,7
5,0,79,129
1,2012,1,669
5,0,643,7
5,0,386,7
5,0,838,7
5,0,149,272
5,0,149,272
5,0,1130,7
3,0,149,7
5,0,706,1336
5,1989,841,1488
5,2000,149,7
5,2014,149,1233
5,0,5,7
5,0,5,7
3,0,5,7
1,0,102,7
5,0,13,7
5,0,5,7
3,0,5,7
5,0,6,7
1,0,26,2936
147,2007,476,4551
3,2011,552,902
5,2009,149,1980
5,2005,904,1987
5,0,5,7
5,0,706,1891
5,2011,11,250
1,2007,97,154
5,2013,706,1336
5,0,5,7
5,2011,390,4552
5,0,5,7
1,0,706,1202
5,0,149,917
1,2002,534,878
5,2010,149,1233
5,2005,149,2119
5,0,6,87
5,2014,386,841
5,2007,117,3459
166,0,5,7
37,2016,93,755
3,0,5,7
3,2007,706,1550
5,0,5,7
5,0,506,7
5,0,323,523
5,2000,97,1289
5,2006,6,87
5,2007,11,1356
1,2010,83,268
5,0,11,250
5,2007,643,1269
5,2007,149,917
5,0,386,632
15,2007,20,1871
3,0,552,2364
5,2013,149,1860
5,0,5,7
5,1995,149,917
5,2011,11,1207
15,2010,20,4553
1,2009,2368,4554
5,0,149,975
5,2010,11,14
1624,2010,728,3158
5,2011,6,1976
5,2011,149,975
1,0,149,272
9,2007,13,16
13,2004,1154,2172
5,2005,417,2878
5,0,5,7
5,2001,904,4496
1,2011,149,272
5,2007,97,154
5,2011,11,1356
5,0,829,4509
5,2008,97,154
5,0,5,7
5,0,5,7
5,2014,149,272
5,2009,93,755
5,2012,149,1120
5,0,5,7
5,2005,904,1622
1,2000,559,1615
5,2010,97,1289
5,2004,390,1480
5,2003,706,1336
5,2007,97,1130
5,0,706,1891
5,0,706,1336
5,2012,83,4555
5,0,552,902
10,2009,400,2168
5,0,83,1605
5,0,11,1356
5,2005,417,1981
5,0,117,7
277,0,1415,4556
5,0,83,4557
5,2009,706,1550
5,0,244,2126
5,2012,117,4558
5,0,5,7
3,0,11,14
5,2002,11,250
5,2003,149,795
5,2001,706,1550
5,0,6,2114
38,2010,119,328
5,0,149,1505
5,0,5,7
5,0,149,272
5,1996,841,7
5,2007,706,1550
3,0,6,7
1,2012,323,2760
63,2008,117,1611
5,2009,552,2367
14,2016,506,838
1,2000,26,142
5,2014,149,1547
1,2004,71,842
5,0,552,1558
5,0,5,7
10,0,54,122
3,0,5,7
5,2009,706,1891
5,0,5,7
1625,0,706,1891
